"supplier_name","total_value","service","cpv_code1","cpv_code2","cpv_code3","cpv_code4","cpv_code5","cpv_code6","cpv_code7","cpv_code8","cpv_code9","cpv_code10","cpv_code11","cpv_code12","cpv_code13","cpv_code14","cpv_code15","cpv_code16","cpv_code17","cpv_code18","cpv_code19","cpv_code20","cpv_code21","cpv_code22","cpv_code23","cpv_code24","cpv_code25","cpv_code26","cpv_code27","cpv_code28"
"Aon Limited","11500","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11500","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","8500","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","532000","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","8846.97","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","16648.4","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","52160.5","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11435.2","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","17937.9","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","45360","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","22008","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","52780","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","68332.5","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","5548.48","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","398165","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","21000","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","13871.4","RESOURCES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11000","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","7464.42","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","25440","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","15075.3","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11637.2","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","23358.7","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","247479","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","5251.52","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","51283.3","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","6369.86","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","66011.5","CUSTOMERS & CORPORATE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","32542","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11500","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","51908.5","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","5512.02","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","26280","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","15573.1","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","5953.38","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","12213.8","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AON Limited","73912.5","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","24157.4","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","467981","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","10000","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","8000","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","14218.5","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aon Limited","11500","FINANCE SERVICES","66000000|66515200|66518100","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARC Adoption North East","18000","CHILDREN’S SOCIAL CARE","85000000","","","","","","",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Arco","8082.3","ECONOMY AND ENVIRONMENT","18330000","18110000","18130000","18140000","18221000","18444000","18424000","18831000","18832000","18213000","18222000","","","","","","","","","","","","","","","","",""
"Atkins Limited","41160","PROPERTY AND HIGHWAYS","50200000|71000000|71244000|71311000|71311200|71311300|71313000|71316000|71320000|71540000|72220000|73000000|73200000|79315000|79400000|79411000|98112000","|71313200|79411000","|71356400","|71530000","|79933000","","","","","","","","","","","","","","","","","","","","","","",""
