Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Th Planning Inspectorate                                                                  ,P013753   ,2018-06-21,2018-06-26,129392    ,37667,37667,Planning Policy                                                                                                                                                                                         ,East Devon Villages Plan - Planning Inspector                                                                                                                                                                                                                                                               
Action East Devon                                                                         ,P013752   ,2018-06-21,2018-06-22,337633    ,10000,10000,Strategic Devm'T & P'Ship Mgmt                                                                                                                                                                          ,Contribution to core funding Action East Devo                                                                                                                                                                                                                                                               
Hays                                                                                      ,P013751   ,2018-06-21,2018-08-31,379352    ,13500,26071,Supervision And Mgt General                                                                                                                                                                             ,Karl Woodhall-Cooper                                                                                                                                                                                                                                                                                        
Hays                                                                                      ,P013751   ,2018-06-21,2018-08-31,379352    ,12571,26071,Supervision And Mgt General                                                                                                                                                                             ,Kevin Alexander                                                                                                                                                                                                                                                                                             
Strata Service Solutions Ltd                                                              ,P013725   ,2018-06-19,2018-06-26,265114    ,601720,601720,Ict Services                                                                                                                                                                                            ,Quarter 1 Provision of services 2018-19                                                                                                                                                                                                                                                                     
Maverick Industries Limited                                                               ,P013720   ,2018-06-19,2018-09-28,529990    ,150000,150000,Capital Play Equipment                                                                                                                                                                                  ,Phear skate park, Exmouth.                                                                                                                                                                                                                                                                                  
Strata Service Solutions Ltd                                                              ,P013716   ,2018-06-19,2018-06-22,265114    ,489,8995,Ict Services                                                                                                                                                                                            ,April 2018 - missed off April bill -  tariff                                                                                                                                                                                                                                                                
Strata Service Solutions Ltd                                                              ,P013716   ,2018-06-19,2018-06-22,265114    ,1865,8995,Ict Services                                                                                                                                                                                            ,May 2018 - Access charges for mobile devices                                                                                                                                                                                                                                                                
Strata Service Solutions Ltd                                                              ,P013716   ,2018-06-19,2018-06-22,265114    ,6641,8995,Ict Services                                                                                                                                                                                            ,May 2018 Tariff for mobile devices                                                                                                                                                                                                                                                                          
Parkeon Ltd                                                                               ,P013708   ,2018-06-19,2018-06-26,339494    ,7812,7812,Car Parks                                                                                                                                                                                               ,Quote SA-2018-1806-VW-East Devon Council-1                                                                                                                                                                                                                                                                  
