Supplier_Name,OrderNumber,OrderDate,ItemDeliveryDate,SupplierCode,LineValue,Order Value,CostCentre,Description
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Bulky Waste Collections                                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Collections of clinical waste                                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying litter & dog bins - Dog bins                                                                                                                                                                                                                                                                       
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying litter & dog bins - litter bins                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Emptying Recycling Banks - Wheeled Bins                                                                                                                                                                                                                                                                     
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Recycling and Food collection Service October                                                                                                                                                                                                                                                               
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Refuse collection Oct 18                                                                                                                                                                                                                                                                                    
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and delivery of recycling containers                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and delivery of recycling containers                                                                                                                                                                                                                                                                
Suez Recycling & Recovery Uk Limited                                                      ,NP01708   ,2018-11-14,2018-11-20,562017    ,,320923,Refuse Collection & Recycling                                                                                                                                                                           ,Storage and delivery of recycling containers                                                                                                                                                                                                                                                                
James Andrews Recruitment Solutions Ltd                                                   ,NP01703   ,2018-11-14,2018-11-21,685025    ,,30000,Supervision And Mgt General                                                                                                                                                                             ,Temporary Worker - Kevin Moir                                                                                                                                                                                                                                                                               
Young Devon                                                                               ,NP01658   ,2018-10-31,2018-11-07,691511    ,,10940,Supervision And Mgt General                                                                                                                                                                             ,Regarding an agreement for the period of Octo                                                                                                                                                                                                                                                               
Livewest Homes Limited                                                                    ,NP01657   ,2018-10-31,2018-11-07,563340    ,,8000,Supervision And Mgt General                                                                                                                                                                             ,Gissage House Homeless Provision 01.10.2018 t                                                                                                                                                                                                                                                               
