Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Aug-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
GILBERT STEPHENS SOLICITORS,0,0,6,25,31
HILLYER MCKEOWN,0,0,1,30,31
Hutchinson Thomas,0,0,3,28,31
INSIGHT LAW,0,0,1,30,31
MEABY & CO,0,0,2,29,31
MKB SOLICITORS LLP (AKA MILLS KEMP AND BROWN),2,0,1,28,31
NELSONS SOLICITORS LLP,1,0,1,29,31
ROSEWOOD LAW LIMITED,0,0,2,29,31
AWB CHARLESWORTH,0,0,2,28,30
Blanchards Bailey LLP,0,0,8,22,30
CLARK BROOKES TURNER CARY LIMITED,0,0,0,30,30
CRANE & WALTON SOLICITORS,0,0,5,25,30
DUNN & BAKER,0,0,12,18,30
FLINT BISHOP SOLICITORS,0,0,2,28,30
FORBES SOLICITORS,0,1,13,16,30
FORRESTER SYLVESTER  MACKETT,0,0,2,28,30
GALLOWAY HUGHES LLP,0,1,3,26,30
HAROLD BENJAMIN,0,1,0,29,30
HETTS,0,0,4,26,30
LANCASHIRE LAW LIMITED,0,0,4,26,30
M C HULLAH LICENSED CONVEYANCER,0,0,13,17,30
NOW LEGAL LLP SOLICITORS,0,1,3,26,30
PENNINGTONS MANCHES  COOPER,0,1,5,24,30
SALEHS LLP,0,0,1,29,30
STREETER MARSHALL,0,1,4,25,30
TAYLORS LEGAL,0,0,8,22,30
WANNOP FOX STAFFURTH & BRAY,0,0,1,29,30
ALKER BALL HEALDS,1,0,1,27,29
ANSONS,0,0,5,24,29
APEX ABS LIMITED,0,0,0,29,29
BARTONS,0,0,3,26,29
BELL LAMB & JOYNSON,0,0,0,29,29
BENNETTS SOLICITORS (MACCLESFIELD),0,0,4,25,29
CATTERALLS,1,0,4,24,29
Charles French & Co,0,0,1,28,29
CROMBIE WILKINSON SOLICITORS,1,0,4,24,29
DOBBS & DREW PROPERTY LAWYERS LIMITED,0,0,4,25,29
DUFFIELD HARRISON LLP,0,0,7,22,29
GRINDEYS LLP,1,0,15,13,29
HALL SMITH WHITTINGHAM,0,0,3,26,29
HOLBROOK & CO,1,0,2,26,29
JOSIAH HINCKS,0,0,0,29,29
KINGSFORDS,0,1,3,25,29
OPTIMAL CLAIM LIMITED,0,0,0,29,29
RIDLEY & HALL LLP,1,0,2,26,29
SCOTT DUFF & CO,0,0,2,27,29
SWIFT LAWYERS LIMITED,0,0,0,29,29
THIRSK WINTON LLP,1,1,1,26,29
