Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Apr-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
MILNERS SOLICITORS,0,0,0,1,1
MOGERS DREWETT LLP,0,0,1,0,1
MOORE & TIBBITS (QUALITY SOLICITORS),0,0,1,0,1
MS LAW LLP,0,0,1,0,1
MY HOME MOVE LIMITED,0,0,1,0,1
MYERS SOLICITORS LIMITED,0,0,0,1,1
NELSONS,0,0,1,0,1
Nigel Broadhead Mynard,0,0,1,0,1
NORTON PESKETT (QUALITY SOLICITORS),0,0,1,0,1
OCEAN PROPERTY LAWYERS LTD,0,0,1,0,1
OSBORNES,0,0,1,0,1
P D LAW LIMITED T/A PATCHELL DAVIES,0,0,1,0,1
PALMERS LAW (ESSEX),1,0,0,0,1
Paris Smith LLP,0,0,0,1,1
Parrott & Coales,0,0,0,1,1
PARRY LAW,0,0,1,0,1
PARTRIDGE ALLEN,0,0,1,0,1
PAUL CROWLEY & CO,0,0,0,1,1
PAYNE & PAYNE,0,0,1,0,1
PEARSON HINCHLIFFE LLP,0,0,1,0,1
PENDRIGH MAKIN,0,0,1,0,1
PENMANS SOLICITORS,0,0,1,0,1
PERRY HAY & CO,0,0,1,0,1
PERSIMMON (NORTHERN REGION - YORK OFFICE),0,0,0,1,1
Peter Robinson & Co,0,0,1,0,1
PHILIP ROSS & CO,0,1,0,0,1
PINSENT MASONS LLP,0,0,1,0,1
PISHON GOLD LIMITED,0,0,0,1,1
R R SANGHVI & CO,0,0,0,1,1
R R WILLIAMS & SON,0,0,1,0,1
Ramsdens Solicitors LLP,0,0,1,0,1
RED KITE LAW,0,0,1,0,1
REES WOOD TERRY,0,0,1,0,1
RICH & CARR LIMITED,0,0,0,1,1
RICHARD REED & CO,0,0,1,0,1
ROBERTS SOLICITORS,0,0,1,0,1
ROGERS & NORTON LIMITED,0,0,1,0,1
Rollits LLP,0,0,0,1,1
ROSSIDES CAINE,0,0,1,0,1
Rowlinsons Solicitors,0,0,1,0,1
SA LAW INCORPORATING PICKWORTHS,0,0,0,1,1
SACKVILLES,0,0,1,0,1
SAM HAWKING & CO,0,0,1,0,1
SAVAGE CRANGLE SOLICITORS,0,0,1,0,1
SBP LAW,0,0,0,1,1
SEDDONS,0,0,1,0,1
Shulmans,0,0,0,1,1
SILLS AND BETTERIDGE,0,0,1,0,1
SINCLAIRS (HENDON) LIMITED,0,0,0,1,1
SPRAKE & KINGSLEY,0,0,1,0,1
SQUIRE PATTON BOGGS (UK) LLP,0,0,1,0,1
STEELE RAYMOND LLP,0,0,1,0,1
STEPHENSONS (BRIERLEY HILL/WOLVERHAMPTON),0,0,1,0,1
SUSAN HOWARTH & CO,0,0,1,0,1
SUTTON-MATTOCKS & CO,0,0,1,0,1
Sydney Mitchell LLP,0,0,1,0,1
T.G.COLLINSSOLICITORS,0,0,0,1,1
TALLENTS SOLICITORS,0,0,1,0,1
TAUNTON SOLICITORS,0,0,1,0,1
TAYLOR FAWCETT,0,0,1,0,1
TAYLOR WALTON,0,0,0,1,1
TAYLOR WIMPEY UK LTD  (MIDLANDS),0,0,0,1,1
TAYLOR WIMPEY UK LTD (NORTHERN DIVISION),0,0,0,1,1
THE ERIC WHITEHEAD PARTNERSHIP,0,0,1,0,1
THE SPICKETTS BATTRICK LAW PRACTICE,0,0,0,1,1
THE SPRING ADVISORY GROUP LIMITED,0,0,1,0,1
THE WILKES PARTNERSHIP,0,0,1,0,1
THOMAS & THOMAS SOLICITORS LTD,0,0,0,1,1
THOMPSON & JACKSON,0,0,1,0,1
THOMSON SNELL & PASSMORE,0,0,0,1,1
THORNEYCROFT & CO,0,0,0,1,1
THRINGS LLP,0,0,1,0,1
THURSTAN HOSKIN SOLICITORS LLP,0,0,0,1,1
TOLHURST & FISHER,0,0,0,1,1
TOWLER BROWN SOLICITORS,0,0,0,1,1
TOZERS LLP,0,0,0,1,1
VINCENTS SOLICITORS,0,0,0,1,1
WAKEFIELD & DISTRICT HOUSING LTD,0,0,1,0,1
WALLER POLLINS,0,0,0,1,1
WATSON RAMSBOTTOM,0,0,1,0,1
WATSONS LAW LLP,0,0,1,0,1
WBW LLP TRADING AS WBW SOLICITORS,0,0,1,0,1
WEIGHTMANS LLP,0,0,1,0,1
WHN SOLICITORS LIMITED,0,0,1,0,1
WILKIN CHAPMAN LLP,0,0,0,1,1
WISE GEARY,0,0,0,1,1
WITTS MOLONEY SOLICITORS,0,0,1,0,1
WOLLEN MICHELMORE,0,0,1,0,1
WRAGG MARK-BELL SOLICITORS LTD,0,0,1,0,1
WRIGHT HASSALL LLP,0,0,1,0,1
