Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jan-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
FLADGATE LLP,0,13,6,108,100,0,11,0,9,453,91,791
GABY HARDWICKE,4,7,6,164,82,5,21,0,25,325,152,791
MICHELMORES LLP,4,25,27,207,34,3,19,0,21,340,110,790
ANDREW JOHN HIGLEY,0,0,0,0,0,0,0,0,0,610,179,789
LEVI SOLICITORS LLP,1,8,20,153,147,0,71,0,48,231,103,782
FLINT BISHOP SOLICITORS,7,5,8,199,72,2,15,0,32,299,141,780
Lockings,5,14,7,204,127,0,25,0,5,297,96,780
MACFARLANES LLP,0,3,1,64,18,1,2,0,18,580,87,774
MARSDEN RAWSTHORN LLP,8,7,6,160,152,0,20,0,18,286,114,771
CLARION SOLICITORS LTD,1,4,3,139,113,1,18,0,7,367,112,765
GILROY STEEL,4,4,4,75,52,0,9,0,8,505,100,761
LONDON BOROUGH OF MERTON,3,1,0,57,14,0,0,0,155,467,61,758
COMPTONS,0,67,1,154,61,0,14,0,9,299,152,757
