Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,May-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
HOWES PERCIVAL,0,5,6,62,28,0,19,0,18,226,70,434
MOOREBLATCH,0,4,6,41,27,2,25,0,9,252,68,434
THOMSON SNELL & PASSMORE,0,1,4,50,53,0,24,0,19,209,74,434
INSOLVENCY SERVICE (THE),0,0,0,133,0,0,0,0,0,282,17,432
FULLER SMITH & TURNER PLC,0,0,0,0,0,0,0,0,0,431,0,431
TEACHER STERN LLP,0,1,0,46,14,1,8,0,1,313,41,425
HEWITSONS,1,1,3,73,32,0,15,0,20,203,76,424
PREMIER SOLICITORS LLP,1,0,0,67,99,0,13,0,1,195,48,424
LONDON BOROUGH OF TOWER HAMLETS,0,0,0,0,0,0,0,0,0,405,18,423
BDO LLP,0,0,0,0,0,0,0,0,0,421,0,421
CABOT FINANCIAL (EUROPE) LIMITED,0,0,0,0,0,0,0,0,0,389,30,419
NOTTING HILL HOUSING TRUST,0,0,0,0,0,0,0,0,0,253,166,419
THE RIGHT TO MANAGE FED LTD,0,0,0,0,0,0,0,0,0,399,19,418
WIRRAL BOROUGH COUNCIL,0,0,0,2,0,0,0,0,2,409,3,416
A V RILLO & CO,2,0,1,42,161,0,4,0,8,155,41,414
CONNELLS (GROUP ESTATES SOLICITOR),0,0,0,0,0,0,0,0,0,413,0,413
VIRGIN MEDIA,0,0,0,0,0,0,0,0,0,413,0,413
TREASURY SOLICITORS,0,1,0,42,0,0,0,0,0,303,66,412
WARD GETHIN ARCHER,1,2,8,85,82,0,18,0,6,171,37,410
CHATTERTONS (INC CHATTERTONS MCKINNELLS),3,2,5,64,53,0,38,0,19,167,58,409
BERMANS LLP,0,1,0,218,114,0,2,0,1,65,7,408
WITHERS LLP,0,2,0,18,21,25,3,0,16,239,84,408
EALING LONDON BOROUGH,0,0,0,1,9,0,0,0,0,394,3,407
BURNLEY BOROUGH COUNCIL,0,0,0,0,0,0,0,0,1,402,2,405
MAGDALENE HAYWOOD T/A KEYSTONE LAW,0,3,0,47,24,0,8,0,4,243,76,405
ELLIS JONES,1,6,1,45,44,0,13,0,5,222,67,404
FLADGATE LLP,1,2,0,30,76,0,1,0,1,245,48,404
STEPHENSON HARWOOD,0,1,0,12,21,0,4,0,9,298,59,404
EDWARD HANDS & LEWIS,0,3,7,58,138,0,12,0,0,150,34,402
NOTTINGHAM CITY COUNCIL,0,0,0,8,6,24,2,0,0,336,26,402
SPIRE SOLICITORS LLP,3,4,10,66,51,1,10,0,18,184,55,402
GREEN WRIGHT CHALTON ANNIS,1,4,0,67,76,0,4,0,2,207,40,401
JS LAW LIMITED,0,0,0,3,154,0,10,0,0,119,113,399
LONDON BOROUGH OF WALTHAM FOREST,0,0,0,5,3,0,0,0,8,356,27,399
MAC TECH GROUP LTD,0,0,0,0,0,0,0,0,0,399,0,399
SCHOFIELD SWEENEY LLP,0,1,1,44,66,3,12,0,12,188,71,398
COUNTRYSIDE PROPERTIES PLC,0,1,1,13,0,0,0,0,28,281,73,397
ELLIOT MATHER LLP,0,0,8,87,82,0,23,0,4,152,41,397
LEEDS CITY COUNCIL,0,0,0,7,7,4,1,0,4,310,64,397
SOUTHERN GAS NETWORKS PLC,0,0,0,0,32,0,0,0,22,317,26,397
BHW SOLICITORS,1,5,9,39,67,0,76,0,1,144,53,395
MANCHESTER CITY COUNCIL,0,0,2,9,2,2,0,0,10,275,95,395
SUPPORTA TERRAQUEST,0,0,0,0,0,0,0,0,8,352,35,395
AXIOM STONE LONDON LTD,0,4,0,81,101,0,9,0,3,149,47,394
ONE HOUSING GROUP,0,0,0,2,1,0,0,0,0,338,53,394
Poole Alcock LLP,0,5,10,73,114,0,21,0,4,114,51,392
DUTTON GREGORY,0,2,3,43,9,0,6,0,8,275,45,391
PM LAW LTD,0,3,1,100,139,0,31,0,1,84,32,391
RED HAT STUDIO LTD,0,0,0,0,0,0,0,0,0,341,49,390
WATSON RAMSBOTTOM,1,9,22,42,69,0,69,0,3,116,57,388
CLARION SOLICITORS LTD,0,1,1,102,48,2,4,0,11,177,40,386
LB OF HARINGEY URBAN ENVIRONMENT,0,0,0,0,0,0,0,0,0,361,25,386
BBH LEGAL SERVICES LIMITED,0,0,2,78,107,0,6,0,1,150,41,385
BUTTERWORTHS,1,0,2,31,50,0,40,0,7,186,68,385
HOLMES & HILLS,0,5,7,38,53,0,41,0,8,175,57,384
TOLHURST & FISHER,0,2,4,47,51,0,6,0,1,179,92,382
A2DOMINION HOUSING,0,0,0,0,0,0,0,0,0,194,185,379
BPL Solicitors,1,3,0,66,113,1,12,0,2,128,51,377
Mincoffs Solicitors LLP,0,3,4,54,59,0,3,0,7,171,76,377
GOSSCHALKS,0,2,1,47,25,3,7,0,0,240,49,374
JUDGE & PRIESTLEY,1,4,2,57,18,0,2,0,0,251,39,374
TAYLOR WALTON,0,2,6,66,59,0,23,0,7,160,49,372
Attwells,0,3,5,73,116,0,49,0,0,76,49,371
BRIDGE MCFARLAND SOLICITORS,1,3,3,64,89,0,15,0,6,146,42,369
THE WILKES PARTNERSHIP,1,0,3,54,29,1,10,0,2,221,48,369
HAYWARD MOON PROPERTY LAWYERS,0,1,4,72,140,0,15,0,5,96,33,366
DOUGLAS WEMYSS LLP,0,1,3,46,100,0,22,0,3,144,45,364
TOGETHER COMMERCIAL FINANCE LTD,0,0,0,240,36,0,0,0,0,79,9,364
BERRY SMITH LLP,0,1,0,79,85,0,2,0,7,138,50,362
GABY HARDWICKE,1,1,2,40,49,3,10,0,6,180,68,360
COUNTRYWIDE PROPERTY LAWYERS,1,2,9,232,42,0,23,0,0,28,21,358
BSG SOLICITORS,0,1,0,106,7,0,1,0,2,231,8,356
WARNER GOODMAN LLP,1,1,1,81,97,0,10,1,3,106,55,356
IMPACT ENERGY LIMITED,0,0,0,0,0,0,0,0,0,354,0,354
