Number and types of transactions for value by all account customers,,,,,
,,,,,
Metrics, ,,,,
Calendar Month,Mar-20,,,,
Account Customer,FR,DFL,TP,DLG,Total
McCarthy Bennett Holland,1,0,4,26,31
NOW LEGAL LLP SOLICITORS,0,1,0,30,31
WINCKWORTH SHERWOOD,1,0,22,8,31
AMICUS SOLICITORS,0,0,4,26,30
BATTRICK CLARK,1,0,1,28,30
ENGLAND & CO,0,0,6,24,30
Jefferies Essex LLP,2,0,5,23,30
MEABY & CO,0,2,2,26,30
Risdon Hosegood,1,0,7,22,30
WESSEX CONVEYANCING SERVICES,1,1,7,21,30
ADK LAW LIMITED,0,0,1,28,29
ALKER BALL HEALDS,0,0,4,25,29
ASKEWS LEGAL LLP,0,0,3,26,29
BEESTON SHENTON SOLICITORS LTD,0,0,14,15,29
BERRY REDMOND GORDON & PENNEY LLP (BRGP),0,0,5,24,29
Bray & Bray,1,0,6,22,29
CRIPPS,0,0,11,18,29
DEBORAH J HOBAN,1,0,3,25,29
DWYERS SOLICITORS,2,0,2,25,29
ENGLEHARTS,0,1,1,27,29
EVOLVE LAW (MK) LTD,0,0,13,16,29
KITSONS LLP,0,0,3,26,29
MCQUADES RESIDENTIAL CONVEYANCING,0,0,3,26,29
NOTARY EXPRESS LIMITED,0,0,2,27,29
PERCY HUGHES & ROBERTS,1,0,2,26,29
ROBERT BINGHAM,0,0,0,29,29
ROSS COATES (T/A HARMONY LAW AND UNITE SOLICITORS),1,0,5,23,29
SLATER & GORDON (UK) LLP,0,0,2,27,29
WINDER TAYLOR SMITH,1,0,3,25,29
YATES & CO,0,0,3,26,29
ABENSONS & CO,1,0,0,27,28
ANSONS,1,0,8,19,28
CLARITY LEGAL SERVICES LIMITED,0,0,0,28,28
CLARK BROOKES TURNER CARY LIMITED,0,0,1,27,28
COLLINGBOURNE HENNAH LIMITED,0,0,2,26,28
DMA LAW,0,0,1,27,28
GADDES NOBLE LIMITED,1,0,4,23,28
GORMAN HAMILTON (ALSO T/A TRUE SOLICITORS),0,0,4,24,28
HADGKISS HUGHES & BEALE,0,0,0,28,28
HATCHERS HENRY LEES SOLICITORS,3,0,8,17,28
JORDANS (ROWLEY REGIS),2,0,5,21,28
KENNETH CURTIS & CO,2,0,2,24,28
MASSERS SOLICITORS,0,0,3,25,28
METCALFE COPEMAN & PETTEFAR,0,0,6,22,28
MISHCON DE REYA,0,0,2,26,28
RUSSELL-COOKE LLP,1,0,4,23,28
TAIT FARRIER GRAHAM,0,0,11,17,28
AFG LAW LIMITED,1,0,1,25,27
Brewer Harding & Rowe,0,0,5,22,27
BURY & WALKERS LLP,0,0,8,19,27
Charles French & Co,0,0,7,20,27
CROMBIE WILKINSON SOLICITORS,0,0,5,22,27
CURTIS LAW SOLICITORS LLP (BLACKBURN),0,0,1,26,27
ELLISON & THOMAS,1,0,1,25,27
Everys,0,0,3,24,27
EXCELLO LAW LIMITED,0,0,1,26,27
GELDARDS LLP,1,0,15,11,27
GHP LEGAL,0,0,7,20,27
KIRKHAM CONVEYANCING,0,0,4,23,27
LATIMER LEE,0,0,3,24,27
Lawcomm Solicitors,0,0,4,23,27
MANAK,1,0,7,19,27
MARTIN SHEPHERD SOLICITORS LLP,0,2,3,22,27
OSLER DONEGAN TAYLOR,0,1,0,26,27
SALEHS LLP,0,0,3,24,27
SMITH RODDAM,0,0,5,22,27
THOMPSON & JACKSON,1,0,1,25,27
WANSBROUGHS,0,0,7,20,27
WRAGG MARK-BELL SOLICITORS LTD,0,0,0,27,27
ALLINGTON HUGHES,2,0,5,19,26
Chubb Bulleid,0,0,5,21,26
COCHRANES LAW FIRM LIMITED,0,0,3,23,26
DICKINSONS,0,0,2,24,26
DWF LLP,0,0,7,19,26
EATON & CO,0,0,1,25,26
FRIIS & RADSTONE,0,1,0,25,26
GILROY STEEL,0,0,2,24,26
KIRKLANDS,0,0,4,22,26
L G WILLIAMS & PRITCHARD,1,0,10,15,26
LAWRENCE STEPHENS,0,0,0,26,26
LDJ SOLICITORS,0,0,3,23,26
MACHINS,0,0,1,25,26
MARK APPLEYARD LIMITED,0,0,0,26,26
MCHALE & CO,0,0,10,16,26
