Number and types of applications by all account customers,,,,,,,,,,,,
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-20,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
RMNJ Solicitors,0,4,2,132,152,1,12,0,4,208,99,614
SOUTHERN GAS NETWORKS PLC,0,0,0,0,37,0,6,0,37,505,29,614
CORPORATE SUPPORT SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,607,0,607
NEVES SOLICITORS,2,13,5,92,62,0,9,0,10,298,116,607
Thomas Flavell & Sons,2,3,7,127,47,0,9,0,6,286,119,606
GISBY HARRISON,0,11,0,72,42,0,11,0,1,330,136,603
Gordons LLP,1,21,8,92,32,0,22,0,21,318,88,603
FREERS ASKEW BUNTING SOLS LTD,0,5,6,87,133,0,10,0,3,230,127,601
MLL LIMITED,1,1,6,61,15,0,6,0,11,397,102,600
MORGAN JONES & PETT,0,7,9,67,131,0,31,0,1,240,112,598
COUNTRYWIDE SURVEYORS LIMITED,0,0,0,0,0,0,0,0,0,597,0,597
THE DISPUTE SERVICE LIMITED,0,0,0,0,0,0,0,0,0,597,0,597
THE SMITH PARTNERSHIP,1,5,23,88,85,0,24,0,9,259,103,597
WEST BROMWICH BUILDING SOCIETY,0,0,1,551,43,1,0,0,0,0,1,597
BLB,0,11,8,101,85,0,32,0,9,227,120,593
BURNLEY BOROUGH COUNCIL,0,0,0,2,0,0,0,0,2,582,4,590
STEPHENSONS LLP,0,20,8,50,136,0,32,0,13,225,106,590
ZURICH ASSURANCE LTD,0,0,0,0,0,0,0,0,0,493,95,588
ANGEL WILKINS LLP,1,6,4,88,89,0,14,0,1,247,137,587
LEATHES PRIOR,4,4,12,93,20,2,20,0,6,349,75,585
LEADENHALL LAW GROUP LTD,0,3,5,67,98,0,8,0,1,263,136,581
WHN SOLICITORS LIMITED,2,14,5,77,44,2,7,0,9,332,89,581
C B RICHARD ELLIS LTD,0,0,0,0,0,0,0,0,0,340,240,580
FARNFIELDS,3,5,16,87,54,0,10,0,4,295,106,580
COLLINGBOURNE HENNAH LIMITED,0,0,0,72,114,0,11,0,4,260,118,579
THE WILKES PARTNERSHIP,2,5,7,59,38,0,20,0,3,345,98,577
AVIVA EQUITY RELEASE (UK) LIMITED,0,0,0,434,125,1,0,0,0,13,2,575
NEWTONS SOLICITORS LTD,1,8,11,86,73,0,17,0,10,251,118,575
UNITED TRUST BANK LTD,0,0,0,0,0,0,0,0,0,571,2,573
