Supplier [Name,CpvCodes,,,,,,,,,,,,,,,,
[GROUND CONTROL (GROUNDS & GARDENS MAINTENANCE),45112700,,,,,,,,,,,,,,,,
[Pinnacle Health Partnership LLP,72500000,,,,,,,,,,,,,,,,
[SOFTCAT PLC,72261000,72263000,72268000,,,,,,,,,,,,,,
[Specialist Computer Centres,72610000,,,,,,,,,,,,,,,,
[Aire Logic,72000000,,,,,,,,,,,,,,,,
[PricewaterhouseCoopers LLP,72000000,,,,,,,,,,,,,,,,
[Positive Solutions Limited,72230000,,,,,,,,,,,,,,,,
[BCS Electrics Ltd,45310000,51110000,71314100,45317000,,,,,,,,,,,,,
[Caretech Community Services Ltd,85300000,,,,,,,,,,,,,,,,
[EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,73000000,,,,,,,,,,,,,,,,
[NHS Digital,48000000,,,,,,,,,,,,,,,,
[Redstor Limited,72000000,,,,,,,,,,,,,,,,
[BONDAP,72260000,72222000,,,,,,,,,,,,,,,
[AXIS EUROPE PLC,45000000,,,,,,,,,,,,,,,,
[Leeds D&B One Limited,45214210,,,,,,,,,,,,,,,,
[Ipsos MORI,73000000,,,,,,,,,,,,,,,,
[IFF Research,73000000,,,,,,,,,,,,,,,,
[Commonplace Digital Ltd,98000000,,,,,,,,,,,,,,,,
[DHC Consulting Ltd,79414000,,,,,,,,,,,,,,,,
[Specialist Computer Centres PLC,30100000,,,,,,,,,,,,,,,,
[Hogg Robinson Travel Ltd,63500000,,,,,,,,,,,,,,,,
[E Batty (contractors) Ltd. t/a Batty Joinery,45000000,,,,,,,,,,,,,,,,
[Experian,73210000,,,,,,,,,,,,,,,,
[Winkworth Sherwood,71310000,,,,,,,,,,,,,,,,
[AstroTec Holding B.V.,38635000,,,,,,,,,,,,,,,,
[Wellingtone PM,72000000,,,,,,,,,,,,,,,,
[S&C Slatter Ltd,45000000,45200000,45220000,45112720,45236110,45212200,,,,,,,,,,,
[Softcat Plc,32420000,32422000,30200000,,,,,,,,,,,,,,
[Softcat Plc,32420000,32422000,30200000,,,,,,,,,,,,,,
[The Involve Foundation,79112100,,,,,,,,,,,,,,,,
[Accenture (UK) Limited,72000000,,,,,,,,,,,,,,,,
[Veracity OSI UK Ltd,72000000,,,,,,,,,,,,,,,,
[Liverpool Vision,79000000,,,,,,,,,,,,,,,,
[Blackstock Partnership ltd,73200000,,,,,,,,,,,,,,,,
[CH2M Hill UK,71311210,,,,,,,,,,,,,,,,
[CH2M Hill UK,71311210,,,,,,,,,,,,,,,,
[Waters Ltd,38434540,,,,,,,,,,,,,,,,
[Allstar Business Soltions Ltd,9100000,,,,,,,,,,,,,,,,
[Kone Plc,42416000,,,,,,,,,,,,,,,,
[Kone Plc,42416000,,,,,,,,,,,,,,,,
[BIFFA WASTE SERVICES LIMITED,90500000,,,,,,,,,,,,,,,,
[Ribcraft Ltd,34521000,,,,,,,,,,,,,,,,
[National Literacy Trust,80000000,98000000,,,,,,,,,,,,,,,
[DLA PIPER UK LLP,79100000,,,,,,,,,,,,,,,,
[Ashurst LLP,79100000,,,,,,,,,,,,,,,,
[GPUK LLP Trading As Global Payments,48217000,,,,,,,,,,,,,,,,
[Peter Hill Flooring Ltd,44112200,45432100,45432130,45432110,,,,,,,,,,,,,
[Curry & Brown UK Ltd,71530000,,,,,,,,,,,,,,,,
[TTC 200 Limited,80000000,,,,,,,,,,,,,,,,
[TTC 2000 Limited,80000000,,,,,,,,,,,,,,,,
[Banana Kick,79342000,,,,,,,,,,,,,,,,
[Achievement for All,80000000,,,,,,,,,,,,,,,,
[Westcountry Maintenance services,50700000,,,,,,,,,,,,,,,,
[A2b bus and coach,60000000,,,,,,,,,,,,,,,,
[The Soper Group Ltd,45000000,,,,,,,,,,,,,,,,
[University of Warwick,73000000,,,,,,,,,,,,,,,,
[Ernst & Young LLP,66171000,,,,,,,,,,,,,,,,
[Merkle UK 3 Ltd,72000000,,,,,,,,,,,,,,,,
[Quality Compliance System Ltd,48170000,,,,,,,,,,,,,,,,
[HTA Design,71200000,,,,,,,,,,,,,,,,
[National Foundation For Educational Research In England And Wale,80000000,,,,,,,,,,,,,,,,
[National Foundation For Educational Research In England And Wale,80000000,,,,,,,,,,,,,,,,
[Scottish Qualifications Authority,80000000,,,,,,,,,,,,,,,,
[Squiz UK Ltd,72268000,,,,,,,,,,,,,,,,
[John Boyd Associates Limited,45500000,,,,,,,,,,,,,,,,
[TCA Clinical Research Ltd.,73110000,,,,,,,,,,,,,,,,
[PSR Group BV,73110000,,,,,,,,,,,,,,,,
[Region Västra Götaland,73110000,,,,,,,,,,,,,,,,
[Novotech (Australia) Pty Ltd,73110000,,,,,,,,,,,,,,,,
[Peerz Academy Limited,80590000,,,,,,,,,,,,,,,,
"[Pharmaron, INC",73110000,,,,,,,,,,,,,,,,
"[10X Genomics, Inc.",33696500,,,,,,,,,,,,,,,,
[Humi-Tech Services Limited,50000000,,,,,,,,,,,,,,,,
[Liveco Ltd T/A Vest Construction,45453100,,,,,,,,,,,,,,,,
[Liveco Ltd T/A Vest Construction,45453100,,,,,,,,,,,,,,,,
[Liveco Ltd T/A Vest Construction,45453100,,,,,,,,,,,,,,,,
[Liveco Ltd T/A Vest Construction,45453100,,,,,,,,,,,,,,,,
[Hurco Europe Ltd,42612000,,,,,,,,,,,,,,,,
[Project Facilities Management Ltd,45453100,,,,,,,,,,,,,,,,
[Academia Limited,72260000,,,,,,,,,,,,,,,,
[Clearwater Technology Ltd,71315000,,,,,,,,,,,,,,,,
[Lablogic,38000000,,,,,,,,,,,,,,,,
[GE Medical Systems Ltd,38000000,,,,,,,,,,,,,,,,
[Anna Grindle,80000000,,,,,,,,,,,,,,,,
[GE Medical Systems Ltd,38000000,,,,,,,,,,,,,,,,
[The Brightside Trust,72212224,,,,,,,,,,,,,,,,
[Illumina Cambridge Ltd,51430000,,,,,,,,,,,,,,,,
[Thompson's Fencing Services,45000000,,,,,,,,,,,,,,,,
[Control Risks Group Ltd,72224000,,,,,,,,,,,,,,,,
[Illumina Cambridge Ltd,38437000,,,,,,,,,,,,,,,,
[GDS Instruments Ltd,38437000,,,,,,,,,,,,,,,,
[Tecniplast UK Ltd,3143000,,,,,,,,,,,,,,,,
[GPE Scientific Limited,39711120,,,,,,,,,,,,,,,,
[Wolf Laboratories Ltd,38000000,,,,,,,,,,,,,,,,
[Campden Instruments Ltd,33793000,,,,,,,,,,,,,,,,
