"supplier_name","account_name","service","total_value","privilege","trade_cat","service_category"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Health","85000000","health"
"BARNARDOS","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Health","85000000","health"
"COVENTRY CITY COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Material","44212000","health"
"DAVID HUNTER","CONSULTANT FEES","CHILDREN’S SOCIAL CARE","5500","Transport","60171000","health"
"DAVID HUNTER","CONSULTANT FEES","CHILDREN’S SOCIAL CARE","5500","Legal","79411000","health"
"GATENBY SANDERSON","AGENCY STAFF","CHILDREN’S SOCIAL CARE","5423","Administration","75111100","health"
"GATENBY SANDERSON","AGENCY STAFF","CHILDREN’S SOCIAL CARE","5104","Legal","79600000","health"
"GATENBY SANDERSON","AGENCY STAFF","CHILDREN’S SOCIAL CARE","6380","Legal","79620000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","5742","Legal","79620000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","6380","Legal","79620000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","6220.5","Legal","79620000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","5742","Legal","79000000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","5104","Legal","79000000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","5104","Legal","79000000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","30000","Legal","79000000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","30000","Legal","79000000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","30000","Legal","79620000","health"
"GATENBY SANDERSON","TRAINING","CHILDREN’S SOCIAL CARE","17250","Legal","79600000","health"
"HARTLEPOOL BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Education","80000000","health"
"HARTLEPOOL BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Health","85100000","health"
"INTERCOUNTRY ADOPTION CENTRE","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9900","Health","85000000","health"
"INTERCOUNTRY ADOPTION CENTRE","FEES / COMMISSION","CHILDREN’S SOCIAL CARE","6500","Health","85000000","health"
"NEWCASTLE CITY COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","60000","Environment","90911200","health"
"REDACTED","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","40500","Legal","79620000","health"
"SIGNIS LIMITED","FEES / COMMISSION","CHILDREN’S SOCIAL CARE","8600","Data","48200000","health"
"SIGNIS LIMITED","CONTRACTS","CHILDREN’S SOCIAL CARE","8600","Data","48000000","health"
"STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Health","85320000","health"
"STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Health","85000000","health"
"STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","18000","Insurance","66510000","health"
"STOCKPORT METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE","9000","Insurance","66510000","health"
"TAMESIDE METROPOLITAN BOROUGH COUNCIL","FOSTER PARENTS BASIC ALLOWANCE","CHILDREN’S SOCIAL CARE","5540","Transport","34100000","health"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","47353","Data","48000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","586343","Data","48000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","586343","Data","48000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","12953.5","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","10457","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","47353","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","586343","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","7322","Data","72000000","environment"
"AGILISYS LIMITED","AGILISYS CONTRACT","NEIGHBOURHOODS AND ENVIRONMENT","586343","Data","72000000","environment"
