"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","q1004142","2015-04-13","32768","LOCAL GOVERNMENT ASSOCIATION","SUBSCRIPTIONS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","x1010857","2015-04-13","8250","OLDHAM MBC","ACTIVITIES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1049590","2015-04-14","8136","BURNT TREE GROUP","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049595","2015-04-14","5914","GLENDALE HORTICULTURE LTD","TREES, SHRUBS, PLANTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016737","2015-04-14","190371","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016739","2015-04-14","39458.8","AXIOM EDUCATION (ROCHDALE) LIMITED","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016740","2015-04-14","11724.5","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016742","2015-04-14","12127.5","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016743","2015-04-14","61767.5","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004151","2015-04-14","42500","OPTEVIA LTD","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004158","2015-04-14","8499.5","THE PENNINE ACUTE HOSPITALS NHS TRUST","OCCUPATIONAL HEALTH","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1049614","2015-04-15","7965","GROUNDWORK LANDSCAPES LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1004066","2015-04-15","45047","OFFICE DEPOT UK LIMITED","POSTAGE","FINANCE SERVICES"
"Rochdale Borough Council","f1004067","2015-04-15","35400","NORTHGATE PUBLIC SERVICES (UK) LTD","SOFTWARE","FINANCE SERVICES"
"Rochdale Borough Council","q1004159","2015-04-15","21390.8","Idox Software Ltd","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004163","2015-04-15","26000","SENITOR RECRUITMENT","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004164","2015-04-15","32300","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004165","2015-04-15","44696","XEROX UK LTD","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004166","2015-04-15","51660","UPDATA INFRASTRUCTURE UK LTD","COMMUNICATION AND COMPUTING - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004169","2015-04-15","64400","KORUS RECRUITMENT GROUP LTD","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018538","2015-04-15","6935.05","ELDERCARE UK LTD","TELEPHONE EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1018540","2015-04-15","25144.8","KINGSWAY MEDICAL PRACTICE","ACTIVITIES","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000697","2015-04-15","12000","THE PARAMOUNT GROUP","RESIDENTIAL LONG TERM","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000698","2015-04-15","31085","PM PROPERTIES","RENTS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1049656","2015-04-16","6513.88","URBAN VISION PARTNERSHIP LTD","AGENCY STAFF","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016752","2015-04-16","12139.3","ROYAL SCHOOL FOR THE DEAF DERBY","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016754","2015-04-16","11397.3","ROSS CARE","EQUIPMENT - GENERAL","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004177","2015-04-16","19140","PAKFLATT UK LTD","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004179","2015-04-16","52000","UPDATA INFRASTRUCTURE UK LTD","TELEPHONE EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","w1000722","2015-04-16","5468","KICKSTART GROUP","PHYSICAL & SENSORY IMPAIRMENT","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000725","2015-04-16","5544","SPRINGHILL HOSPICE ROCHDALE","END OF LIFE","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1049667","2015-04-17","30000","SAFECOTE LTD","MATERIAL - GENERAL","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1049694","2015-04-17","9819.69","AKSA HOMES","MINOR BUILDING WORKS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049695","2015-04-17","7211.74","AKSA HOMES","MINOR BUILDING WORKS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1004188","2015-04-17","6577","ANIXTER LIMITED","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004189","2015-04-17","19720","DAISY COMMUNICATIONS LTD","IT MAINTENANCE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018548","2015-04-17","7520","BROADWAY BUILDING CONTRACTORS OLDHAM LTD","IMPROVEMENTS-EXTENSIONS & ALTERATIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1018552","2015-04-17","5055","JPK PLUMBING & HEATING LTD","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000734","2015-04-17","39269","FRIENDS OF OLDER PARENT CARERS","VOLUNTARY ASSOCIATIONS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1049714","2015-04-20","8460","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049717","2015-04-20","7139","PURCELL MILLER TRITTON LLP","CONDITION SURVEYS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016765","2015-04-20","108331","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016767","2015-04-20","131669","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004207","2015-04-20","10580","TURNING POINT SERVICES LIMITED","CONTRACTED SERVICES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1049728","2015-04-21","8075.68","URBAN VISION PARTNERSHIP LTD","AGENCY STAFF","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049735","2015-04-21","20000","HIGHWAY ELECTRICAL SPECIALISTS LTD","STREET LIGHTING","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","f1004081","2015-04-21","12000","G4S CASH SOLUTIONS (UK) LIMITED","SECURITY","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","s1018567","2015-04-21","24214.9","ROSS CARE","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000744","2015-04-21","16200","CROSSROADS CARE IN GREATER MANCHESTER","ALCOHOL & DRUGS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000745","2015-04-21","36963.6","HEALTHWATCH ROCHDALE","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000746","2015-04-21","5000","ESSELL CONSULTANTS LTD","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000747","2015-04-21","120000","HEALTHWATCH ROCHDALE","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1049761","2015-04-22","5156.85","OLDHAM & ROCHDALE GROUNDWORK TRUST LTD","MISCELLANEOUS CAPITAL EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049770","2015-04-22","21390.8","Idox Software Ltd","SOFTWARE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049773","2015-04-22","6635.11","J COONEY LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1016792","2015-04-22","37423.4","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004222","2015-04-22","18000","EVERYTHING EVERYWHERE LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004223","2015-04-22","48000","EVERYTHING EVERYWHERE LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004224","2015-04-22","72000","EVERYTHING EVERYWHERE LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004225","2015-04-22","6000","EVERYTHING EVERYWHERE LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004226","2015-04-22","9616","MIDLAND SOFTWARE LTD","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004229","2015-04-22","39000","PHS RECORDSMANAGEMENT","DATA COLLECTION","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004232","2015-04-22","12918","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018573","2015-04-22","19500","NHS HEYWOOD MIDDLETON AND ROCHDALE CCG","HOME CARE - ADULT SERVICES","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000749","2015-04-22","18915","ROCHDALE GATEWAY LEISURE LIMITED","SUPPORT ASIAN CARERS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000750","2015-04-22","5247","ROCHDALE GATEWAY LEISURE LIMITED","WEEKEND RESPITE","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000753","2015-04-22","22522","ROCHDALE GATEWAY LEISURE LIMITED","SUPPORT ASIAN CARERS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000754","2015-04-22","47785","MAKING SPACE","VOLUNTARY ASSOCIATIONS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1049796","2015-04-23","22691.7","BRAHM FUNDCO 2 LTD","PFI SCHEMES RPI","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049797","2015-04-23","60608.6","VBA JOINT VENTURE LTD","NEW CONSTRUCTION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049798","2015-04-23","63576.8","VBA JOINT VENTURE LTD","NEW CONSTRUCTION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049801","2015-04-23","28200","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049802","2015-04-23","5368","EMO OIL LIMITED","OIL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016816","2015-04-23","94500","POSITIVE STEPS","EXTERNALLY MANAGED FUNDS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016817","2015-04-23","19789.8","DIOCESE OF SALFORD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004239","2015-04-23","121352","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004240","2015-04-23","78780.2","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004241","2015-04-23","31500","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1049861","2015-04-24","7139.37","PURCELL MILLER TRITTON LLP","CONDITION SURVEYS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049873","2015-04-24","48500","ROCHDALE DEVELOPMENT AGENCY","GRANTS TO OTHER BODIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016831","2015-04-24","14847.7","SALFORD CITY COUNCIL","OTHER LOCAL AUTHORITIES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","x1010915","2015-04-24","43000","CALDERDALE METROPOLITAN BOROUGH COUNCIL","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1049875","2015-04-26","24000","THOMPSONS SOLICITORS","PROFESSIONAL FEES","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1049886","2015-04-27","6120","JMHA","PROPERTY REFURBISHMENT (HOUSING)","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049911","2015-04-27","20500","D AND M DEMOLITION AND RECYCLING LTD","REMOVAL/STRIP OUT COSTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","s1018602","2015-04-27","5000","TAMESIDE METROPOLITAN BOROUGH COUNCIL","SUBSCRIPTIONS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","s1018603","2015-04-27","9900","NHS HEYWOOD MIDDLETON AND ROCHDALE CCG","SOCIAL SERVICES OTHER","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000776","2015-04-27","121200","CAREWEST NORTHERN LIMITED","HOME CARE - ADULT SERVICES","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","ph100812","2015-04-28","24480","LGBT FOUNDATION","SERVICE LEVEL AGREEMENTS","PUBLIC HEALTH"
"Rochdale Borough Council","q1004268","2015-04-28","9750","Idox Software Ltd","SOFTWARE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1049965","2015-04-29","7850","UNITY PARTNERSHIP LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1049976","2015-04-29","322377","COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD","PFI SCHEMES RPIX","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1016866","2015-04-29","48250.8","PENNINE CARE NHS","CONSULTANT FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016867","2015-04-29","15912","PENNINE CARE NHS","TEACHERS - BASIC","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016870","2015-04-29","11037.8","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016871","2015-04-29","11483.3","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016872","2015-04-29","12253.1","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016873","2015-04-29","12209.8","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016874","2015-04-29","12659","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016875","2015-04-29","20140","CLARENCE HIGH SCHOOL","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016876","2015-04-29","26393","CEDAR HOUSE SCHOOL & LOWGATE HOUSE LTD","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016877","2015-04-29","8400","YVONNE LUCKIN LTD","BASIC SALARIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016878","2015-04-29","11400","PSYCHOLOGY PEOPLE","BASIC SALARIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100814","2015-04-29","15000","BLACK HEALTH AGENCY","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","ph100815","2015-04-29","99268","TAMESIDE METROPOLITAN BOROUGH COUNCIL","PH NETWORK COSTS","PUBLIC HEALTH"
"Rochdale Borough Council","q1004274","2015-04-29","5600","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004275","2015-04-29","8933","VODAFONE LTD - DISCLOSURES","TELEPHONE EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004278","2015-04-29","5000","ROCHDALE ONLINE LIMITED","ADVERTISING","FINANCE SERVICES"
"Rochdale Borough Council","q1004282","2015-04-29","8400","EVERYTHING EVERYWHERE LTD","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1050014","2015-04-30","5990","F BRIERLEY & SON LIMITED","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","e1016916","2015-04-30","7682","PEOPLETOO LIMITED","CONSULTANT FEES","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","e1016919","2015-04-30","6400","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST","ACTIVITIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016920","2015-04-30","10000","NISAI LEARNING","ACTIVITIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1004104","2015-04-30","18000","PRICE WATERHOUSE COOPERS","CONSULTANT FEES","FINANCE SERVICES"
"Rochdale Borough Council","q1004301","2015-04-30","31559.8","BINDMONT PRINT SERVICES LTD","PRINTING & STATIONERY","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1050034","2015-05-01","18920.8","SIGNAGE SYSTEMS LTD","MAINTENANCE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050038","2015-05-01","7298.66","JENKINSON OFFICE SUPPLIES","FURNITURE - GENERAL","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050056","2015-05-01","5720","MACE LIMITED","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016924","2015-05-01","61411.4","TRANSPORT FOR GREATER MANCHESTER","STUDENT TRAVEL","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016925","2015-05-01","6720","REDACTED PERSONAL DATA","CONSULTANT FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016930","2015-05-01","37870.8","AXIOM EDUCATION (ROCHDALE) LIMITED","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016932","2015-05-01","19591.2","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","w1000787","2015-05-01","5040","ACTION FIRST IPEOPLE LTD","FEES / COMMISSION","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","ph100819","2015-05-05","217883","PENNINE CARE NHS","PH PENNINE CARE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","ph100820","2015-05-05","215536","PENNINE CARE NHS","PH PENNINE CARE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","w1000791","2015-05-05","16876.7","TURNING POINT SERVICES LIMITED","SP BLOCK PAYMENTS - EXTERNAL","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","w1000792","2015-05-05","220000","TURNING POINT SERVICES LIMITED","SP BLOCK PAYMENTS - EXTERNAL","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1050126","2015-05-06","25509.1","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050127","2015-05-06","12075.8","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050143","2015-05-06","12076","WHEELDON BROTHERS WASTE LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050144","2015-05-06","13853.4","WHEELDON BROTHERS WASTE LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050145","2015-05-06","6425.7","WHEELDON BROTHERS WASTE LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050148","2015-05-06","5112.72","STRAIGHT MANUFACTURING LTD","PURCHASE OF OTHER EQUIPMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050153","2015-05-06","6952.4","WHEELDON BROTHERS WASTE LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016951","2015-05-06","128276","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1016953","2015-05-06","5500","IN CONTROL PARTNERSHIPS","SUBSCRIPTIONS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","x1010946","2015-05-06","14333","PARENTS AND CHILDREN TOGETHER","SUBSIDISED ADOPTERS PMTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","e1016973","2015-05-07","303843","INSPIREDSPACES ROCHDALE PROJECT CO1 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","w1000809","2015-05-07","66000","PANZTEL UK LTD","SOFTWARE","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1050185","2015-05-08","22691.7","BRAHM FUNDCO 2 LTD","PFI SCHEMES RPI","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050195","2015-05-08","17880","COMPLIANCE365","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050196","2015-05-08","16500","SCHNEIDER ELECTRIC LIMITED","PROPERTY - WORKS ELEMENT","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016978","2015-05-08","11239.2","NEW BRIDGE  SCHOOL","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004336","2015-05-08","7280","TURNING POINT SERVICES LIMITED","CONTRACTED SERVICES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1050239","2015-05-11","13840.5","IAN FARMER ASSOCIATES","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050254","2015-05-11","138262","RIVERSIDE TRUCK RENTAL","LONG TERM CONTRACTED EXTERNAL HIRE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050255","2015-05-11","28800","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050256","2015-05-11","8640","EMO OIL LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050258","2015-05-11","90500","ENVENTURE CONSULTANCY","CONTRACTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1016993","2015-05-11","412562","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1004343","2015-05-11","14581","DAISY COMMUNICATIONS LTD","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1050264","2015-05-12","5110","J S C PLAY SERVICES LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050279","2015-05-12","9250","PIPER MUSIC MANAGEMENT LTD","EVENTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1017002","2015-05-12","10776.6","THE TOGETHER TRUST","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017004","2015-05-12","8000","BAKER SMALL SOLICITORS","SUBSCRIPTIONS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017005","2015-05-12","667630","AXIOM EDUCATION (ROCHDALE) LIMITED","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017006","2015-05-12","16119.2","AXIOM EDUCATION (ROCHDALE) LIMITED","MEALS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1017008","2015-05-12","19488","CITY IN THE COMMUNITY","ACTIVITIES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","w1000814","2015-05-12","90000","ROCHDALE CIRCLE","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","w1000815","2015-05-12","33000","ROCHDALE COMMUNITY TRANSPORT","SERVICE LEVEL AGREEMENTS","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1050295","2015-05-13","25000","BLUE ORCHID MANAGEMENT CONSULTANTS LTD","GRANTS TO THE NON VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050301","2015-05-13","31014","HALCROW GROUP LTD","ENGINEERS FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050303","2015-05-13","5400","HILLSIDE PRINTING SERVICES LIMITED","ACTIVITIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050309","2015-05-13","8094.9","BURNT TREE GROUP","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050310","2015-05-13","6424.07","NORTHGATE VEHICLE HIRE LIMITED","TRANSACTIONS-EXPENDITURE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1004352","2015-05-13","5600","STHREE PARTNERSHIP LLP","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004354","2015-05-13","10640","JANET UK","EQUIPMENT - GENERAL","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004357","2015-05-13","5000","EVERYTHING EVERYWHERE","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1004365","2015-05-13","6684.64","LOCAL GOVERNMENT ASSOCIATION","TRAINING","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1018697","2015-05-13","5000","I DECIDE LIMITED","CONTRACTED SERVICES","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1050320","2015-05-14","7200","BUCHANAN COMPUTING LTD","SOFTWARE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050333","2015-05-14","19876","INTERGRATED SKILLS  LIMITED","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1050343","2015-05-14","9871","ROCHDALE BOROUGHWIDE HOUSING","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1050344","2015-05-14","17076","J COONEY LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
