"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","e1014802","2014-10-15","16194","PENNINE CARE NHS","SERVICE LEVEL AGREEMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","e1014804","2014-10-15","386216","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014805","2014-10-15","19253.5","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014808","2014-10-15","35097.6","AXIOM EDUCATION (ROCHDALE) LIMITED","MEALS","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1014816","2014-10-15","313889","INSPIREDSPACES ROCHDALE PROJECT CO1 LTD","PFI SCHEMES RPIX","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100559","2014-10-15","9013.06","VICTIM SUPPORT & WITNESS SERVICE","PH BUSINESS CASES","PUBLIC HEALTH"
"Rochdale Borough Council","d1045548","2014-10-16","7900","D AND M DEMOLITION AND RECYCLING LTD","REMOVAL/STRIP OUT COSTS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","q1002770","2014-10-16","19431","AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","w1000285","2014-10-16","13500","CROSSROADS CARE IN GREATER MANCHESTER","ALCOHOL & DRUGS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","d1045577","2014-10-17","24939.1","JONES LANG LASALLE","SECURITY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045590","2014-10-17","20000","NOVUS SOLAR DEVELOPMENTS LIMITED","PURCHASE OF PLANT AND MACHINERY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014833","2014-10-17","17998.2","AXIOM EDUCATION (ROCHDALE) LIMITED","WATER CHARGES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","q1002785","2014-10-17","6600","RICOH UK LTD","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1017513","2014-10-17","8314","TERRY GROUP LTD","TRANSACTIONS-EXPENDITURE","PHYSICAL DIS & OLDER PEOPLE"
"Rochdale Borough Council","d1045602","2014-10-20","136258","CANAL & RIVER TRUST","ROCHDALE CANAL MAINTENANCE","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045617","2014-10-20","16650","WILDE CONSULTING ENGINEERS","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045618","2014-10-20","18000","WILDE CONSULTING ENGINEERS","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","q1002797","2014-10-20","40400","MANCHESTER CITY COUNCIL","AGMA","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045669","2014-10-21","6067","NAB CONTRACTORS LTD","PURCHASE OF PLANT AND MACHINERY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014877","2014-10-21","26666.7","NUGENT CARE","OTHER EST - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100567","2014-10-21","130180","BIG LIFE CENTRES","PH BIG LIFE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","q1002812","2014-10-21","34980.6","Oracle Corporation UK Limited","SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045680","2014-10-22","6380","F S MOULT & SON","IMPROVEMENTS-MODERNISATION","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","ph100573","2014-10-22","12240","THE LESBIAN & GAY FOUNDATION","SERVICE LEVEL AGREEMENTS","PUBLIC HEALTH"
"Rochdale Borough Council","q1002817","2014-10-22","8000","SENITOR RECRUITMENT","CAPITAL SALARIES","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002819","2014-10-22","13244.5","RESTORE PLC","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","s1017541","2014-10-22","23250","PETRUS","SERVICE LEVEL AGREEMENTS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","s1017542","2014-10-22","23250","PETRUS","SERVICE LEVEL AGREEMENTS","LEARNING DIS & MENTAL HEALTH"
"Rochdale Borough Council","x1009837","2014-10-22","14333","CARITAS CARE LTD","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1045722","2014-10-23","300000","COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD","PFI SCHEMES RPIX","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045723","2014-10-23","43337.5","F W SHERRATT LTD","ROADWORKS","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045729","2014-10-23","21625","TREE HEROES LTD","ROADWORKS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045738","2014-10-23","14237","ROCHDALE TOWN CENTRE MANAGEMENT CO","GRANTS TO THE NON VOLUNTARY SECTOR","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045748","2014-10-23","291102","DENNIS EAGLE LTD","PURCHASE OF VEHICLES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014896","2014-10-23","213364","INSPIREDSPACES ROCHDALE LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","d1045753","2014-10-24","15139","JONES LANG LASALLE","SECURITY","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045756","2014-10-24","7000","LUBBE & SONS LTD","EQUIPMENT - GENERAL","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1014905","2014-10-24","275680","INSPIREDSPACES ROCHDALE PROJECTCO2 LTD","IMPROVEMENTS-MODERNISATION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100578","2014-10-24","50474","THE PENNINE ACUTE HOSPITALS NHS TRUST","PH PENNINE ACUTE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","ph100579","2014-10-24","15000","THE PENNINE ACUTE HOSPITALS NHS TRUST","PH OTHER CONTRACTS","PUBLIC HEALTH"
