Organisation Name,Department where exp. Incurred,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Services to People,AWS EMEA,Computer equipment and software,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,03/03/2020,16.04.2020,908.10
Stockport MBC,Services to People,WM MORRISONS STORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",03/03/2020,16.04.2020,6.80
Stockport MBC,Services to People,REPLACEBASE,Computer equipment and software,ELECTRONIC SALES,06/03/2020,16.04.2020,44.51
Stockport MBC,Corporate and Support Services,BEST WESTERN HOTELS,Travelling Expenses,BEST WESTERN HOTELS,20/03/2020,16.04.2020,8.55
Stockport MBC,Corporate and Support Services,CROSBYS CATERING SUPP,Catering Supplies,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",20/03/2020,16.04.2020,598.80
Stockport MBC,Corporate and Support Services,WWW.PLANNINGPORTAL.CO.,Office Expenses,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,18/03/2020,16.04.2020,141.00
Stockport MBC,Corporate and Support Services,EDINBURGH HOLIDAY HL L,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",03/03/2020,16.04.2020,100.00
Stockport MBC,Corporate and Support Services,EVIIVO:EDINBURGH HOLID,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",02/03/2020,16.04.2020,200.00
Stockport MBC,Corporate and Support Services,EB  BASIC ARCHIVE SKIL,Staff Training,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,02/03/2020,16.04.2020,166.73
Stockport MBC,Services to People,WWW.DOMINOS.CO.UK,Catering Supplies,"EATING PLACES, RESTAURANTS",16/03/2020,16.04.2020,13.99
Stockport MBC,Services to People,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,MISCELLANEOUS AND SPECIALTY RETAIL STORES,12/03/2020,16.04.2020,33.95
Stockport MBC,Services to People,STOCKPORT T/O,Travelling Expenses,PASSENGER RAILWAYS,12/03/2020,16.04.2020,9.85
Stockport MBC,Services to People,ASDA SUPERSTORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",11/03/2020,16.04.2020,6.94
Stockport MBC,Services to People,B & Q 1279,Furniture and Equipment,HOME SUPPLY WAREHOUSE STORES,11/03/2020,16.04.2020,1.52
Stockport MBC,Services to People,ASDA SUPERSTORE,Catering Supplies,"GROCERY STORES, SUPERMARKETS",09/03/2020,16.04.2020,6.91
