Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,13.11.2018,16.12.2018,GPC11180000289,8.75
Stockport MBC,Services to People,Adult Social Care,APPNA CASH & CARRY (MA,Catering Supplies,Catering Food & Beverages ,28.11.2018,16.12.2018,GPC11180000290,20.81
Stockport MBC,Services to People,Adult Social Care,TESCO-STORES 2710,Catering Supplies,Catering Food & Beverages ,26.11.2018,16.12.2018,GPC11180000291,28.08
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,22.11.2018,16.12.2018,GPC11180000292,6.97
Stockport MBC,Services to People,Adult Social Care,APPNA CASH & CARRY (MA,Catering Supplies,Catering Food & Beverages ,19.11.2018,16.12.2018,GPC11180000293,36.19
Stockport MBC,Services to People,Adult Social Care,SANAM RESTAURANT,Catering Supplies,Catering Food & Beverages ,19.11.2018,16.12.2018,GPC11180000294,75.00
Stockport MBC,Services to People,Adult Social Care,SANAM RESTAURANT,Catering Supplies,Catering Food & Beverages ,19.11.2018,16.12.2018,GPC11180000295,100.00
Stockport MBC,Services to People,Adult Social Care,APPNA CASH & CARRY (MA,Catering Supplies,Catering Food & Beverages ,10.11.2018,16.12.2018,GPC11180000296,29.48
Stockport MBC,Services to People,Adult Social Care,PARFETTS CASH&CARRY,Catering Supplies,Catering Food & Beverages ,07.11.2018,16.12.2018,GPC11180000297,36.76
Stockport MBC,Services to People,Adult Social Care,B&M RETAIL,Furniture and Equipment,Furniture & Soft Furnishings  ,06.11.2018,16.12.2018,GPC11180000298,36.44
Stockport MBC,Services to People,Adult Social Care,CO-OP GROUP 070285,Catering Supplies,Catering Food & Beverages ,06.11.2018,16.12.2018,GPC11180000299,32.42
