Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORE 2629,Catering Supplies,Catering Food & Beverages ,02.11.2017,16.12.2017,GPC11170000129,12.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,STATIONERY OFFICE BOOK,Legal Fees,Legal Services  ,13.11.2017,16.12.2017,GPC11170000130,25.50,,
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,06.11.2017,16.12.2017,GPC11170000131,10.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CILEX LAW SC.AC.UK,Staff Training,Human Resources  ,03.11.2017,16.12.2017,GPC11170000132,61.65,,
Stockport MBC,Services to People,Public Health,FTPE WEBTIS 1,Travelling Expenses,Human Resources Travel & Subsistence ,21.11.2017,16.12.2017,GPC11170000133,23.50,,
Stockport MBC,Services to People,Public Health,LABCOLD LIMITED,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",10.11.2017,16.12.2017,GPC11170000134,252.00,,
Stockport MBC,Services to People,Public Health,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,06.11.2017,16.12.2017,GPC11170000135,47.00,,
Stockport MBC,Corporate and Support Services,Planning Services,W M MORRISON PLC,Publicity and Promotion,Arts & Leisure Services  ,16.11.2017,16.12.2017,GPC11170000136,35.63,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,07.11.2017,16.12.2017,GPC11170000137,20.90,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,07.11.2017,16.12.2017,GPC11170000138,23.95,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Library Equipment,Education Library Books ,07.11.2017,16.12.2017,GPC11170000139,33.99,,
Stockport MBC,Services to People,Childrens & Educational Services,MAYFIELD ALPACAS ANIMA,Fees and Charges,Education  ,30.11.2017,16.12.2017,GPC11170000140,50.50,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,29.11.2017,16.12.2017,GPC11170000141,33.36,,
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773         S,Catering Supplies,Catering Food & Beverages ,28.11.2017,16.12.2017,GPC11170000142,69.37,,
Stockport MBC,Services to People,Childrens & Educational Services,VISTAPRINT,Furniture and Equipment,Environmental Services Technical Equipment ,27.11.2017,16.12.2017,GPC11170000143,34.19,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,16.11.2017,16.12.2017,GPC11170000144,24.70,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.11.2017,16.12.2017,GPC11170000145,6.00,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,03.11.2017,16.12.2017,GPC11170000146,86.70,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,02.11.2017,16.12.2017,GPC11170000147,5.06,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,02.11.2017,16.12.2017,GPC11170000148,57.47,,
Stockport MBC,Services to People,Adult Social Care,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,16.11.2017,16.12.2017,GPC11170000149,155.50,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,23.11.2017,16.12.2017,GPC11170000150,17.35,,
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,22.11.2017,16.12.2017,GPC11170000151,121.00,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON SVCS EU-UK AMAZ,Furniture and Equipment,Environmental Services Technical Equipment ,08.11.2017,16.12.2017,GPC11170000152,29.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.ANNARBOR.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,06.11.2017,16.12.2017,GPC11170000153,95.20,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU AMAZON.CO.UK,Fees and Charges,Education  ,05.11.2017,16.12.2017,GPC11170000154,10.47,,
Stockport MBC,Corporate and Support Services,Planning Services,TESCO STORES 3378,Publicity and Promotion,Arts & Leisure Services  ,29.11.2017,16.12.2017,GPC11170000155,17.75,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,30.11.2017,16.12.2017,GPC11170000156,4.62,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.11.2017,16.12.2017,GPC11170000157,3.00,,
