Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,09.12.2017,16.10.2017,GPC09170000127,89.25
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,29.09.2017,16.10.2017,GPC09170000128,14.50
Stockport MBC,Services to People,Adult Social Care,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,09.06.2017,16.10.2017,GPC09170000129,333.00
Stockport MBC,Services to People,Adult Social Care,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,13.09.2017,16.10.2017,GPC09170000130,83.18
Stockport MBC,Services to People,Adult Social Care,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,13.09.2017,16.10.2017,GPC09170000131,162.84
Stockport MBC,Services to People,Adult Social Care,BRITANNIA HOTEL,Care Payments,Social Community Care Supplies & Services  ,15.09.2017,16.10.2017,GPC09170000132,328.00
Stockport MBC,Services to People,Adult Social Care,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,20.09.2017,16.10.2017,GPC09170000133,47.79
Stockport MBC,Services to People,Adult Social Care,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,20.09.2017,16.10.2017,GPC09170000134,38.35
Stockport MBC,Services to People,Childrens & Educational Services,POST OFFICE COUNTER,Office Expenses,Mail Services   ,09.11.2017,16.10.2017,GPC09170000135,208.00
Stockport MBC,Services to People,Childrens & Educational Services,GREATER MANCHESTER EAS,Fees and Charges,Education  ,15.09.2017,16.10.2017,GPC09170000136,172.00
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STAPLES.CO.UK,Furniture and Equipment,Furniture & Soft Furnishings  ,15.09.2017,16.10.2017,GPC09170000137,139.00
Stockport MBC,Services to People,Childrens & Educational Services,Amazon EU,Furniture and Equipment,Furniture & Soft Furnishings  ,21.09.2017,16.10.2017,GPC09170000138,16.48
Stockport MBC,Services to People,Childrens & Educational Services,SCREWFIX DIRECT,Fees and Charges,Education  ,21.09.2017,16.10.2017,GPC09170000139,134.11
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK,Furniture and Equipment,Environmental Services Technical Equipment ,22.09.2017,16.10.2017,GPC09170000140,38.84
Stockport MBC,Corporate and Support Services,Planning Services,WM MORRISONS,Publicity and Promotion,Arts & Leisure Services  ,15.09.2017,16.10.2017,GPC09170000141,28.13
Stockport MBC,Services to People,Childrens & Educational Services,PEARSON ED LTD,Library Equipment,Education Library Books ,09.05.2017,16.10.2017,GPC09170000142,19.50
