Organisation name,Purchase Order Number,Order date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,e1014816,2014-10-15,"£313,889.44",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100559,2014-10-15,"£9,013.06",VICTIM SUPPORT & WITNESS SERVICE,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,d1045548,2014-10-16,"£7,900.00",D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1002770,2014-10-16,"£19,431.00",AGILISYS LIMITED,AGILISYS CONTRACT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,w1000285,2014-10-16,"£13,500.00",CROSSROADS CARE IN GREATER MANCHESTER,ALCOHOL & DRUGS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1045577,2014-10-17,"£24,939.14",JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045590,2014-10-17,"£20,000.00",NOVUS SOLAR DEVELOPMENTS LIMITED,PURCHASE OF PLANT AND MACHINERY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014833,2014-10-17,"£17,998.24",AXIOM EDUCATION (ROCHDALE) LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1002785,2014-10-17,"£6,600.00",RICOH UK LTD,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017513,2014-10-17,"£8,314.00",TERRY GROUP LTD,TRANSACTIONS-EXPENDITURE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1045602,2014-10-20,"£136,258.06",CANAL & RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045617,2014-10-20,"£16,650.00",WILDE CONSULTING ENGINEERS,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045618,2014-10-20,"£18,000.00",WILDE CONSULTING ENGINEERS,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,q1002797,2014-10-20,"£40,400.00",MANCHESTER CITY COUNCIL,AGMA,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045669,2014-10-21,"£6,067.00",NAB CONTRACTORS LTD,PURCHASE OF PLANT AND MACHINERY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014877,2014-10-21,"£26,666.67",NUGENT CARE,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100567,2014-10-21,"£130,180.00",BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1002812,2014-10-21,"£34,980.62",Oracle Corporation UK Limited,SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045680,2014-10-22,"£6,380.00",F S MOULT & SON,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,ph100573,2014-10-22,"£12,240.00",THE LESBIAN & GAY FOUNDATION,SERVICE LEVEL AGREEMENTS,PUBLIC HEALTH
Rochdale Borough Council,q1002817,2014-10-22,"£8,000.00",SENITOR RECRUITMENT,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002819,2014-10-22,"£13,244.51",RESTORE PLC,TRANSACTIONS-EXPENDITURE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017541,2014-10-22,"£23,250.00",PETRUS,SERVICE LEVEL AGREEMENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,s1017542,2014-10-22,"£23,250.00",PETRUS,SERVICE LEVEL AGREEMENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,x1009837,2014-10-22,"£14,333.00",CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1045722,2014-10-23,"£300,000.00",COMMUNITY LIGHTING PARTNERSHIP ROCHDALE LTD,PFI SCHEMES RPIX,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045723,2014-10-23,"£43,337.50",F W SHERRATT LTD,ROADWORKS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045729,2014-10-23,"£21,625.00",TREE HEROES LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045738,2014-10-23,"£14,237.00",ROCHDALE TOWN CENTRE MANAGEMENT CO,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045748,2014-10-23,"£291,102.00",DENNIS EAGLE LTD,PURCHASE OF VEHICLES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014896,2014-10-23,"£213,364.12",INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1045753,2014-10-24,"£15,139.00",JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045756,2014-10-24,"£7,000.00",LUBBE & SONS LTD,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014905,2014-10-24,"£275,680.42",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100578,2014-10-24,"£50,474.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH PENNINE ACUTE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph100579,2014-10-24,"£15,000.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,q1002849,2014-10-24,"£13,530.00",COURTESY COACHES LTD,ACTIVITIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002854,2014-10-24,"£8,800.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,x1009862,2014-10-24,"£5,000.00",CHILDREN AND FAMILIES ACROSS BORDERS,FEES / COMMISSION,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1009864,2014-10-24,"£5,197.00",THE PLACE YOUNG PEOPLES COMPANY LTD,CONSULTANT FEES,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,s1017562,2014-10-26,"£7,065.00",MACK4 LIMITED,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1017563,2014-10-26,"£8,063.00",TERRY GROUP LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1045801,2014-10-27,"£8,000.00",GROVER LEWIS ASSOCIATES,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045802,2014-10-27,"£7,000.00",JEREMY BENN ASSOCIATES LTD,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,q1002864,2014-10-27,"£8,550.00",TAMESIDE METROPOLITAN BOROUGH COUNCIL,AGMA,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045805,2014-10-28,"£5,640.00",R J & D RAINFORD,"TREES, SHRUBS, PLANTS",ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045806,2014-10-28,"£8,000.00",AECOM PROFESSIONAL SERVICES LTD,SURVEYORS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045816,2014-10-28,"£6,000.00",CUNDALL,ENGINEERS FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045820,2014-10-28,"£5,598.00",SAUNDERS & TAYLOR (MANCHESTER) LIMITED,REPAIRS AND HEATING (EXC BOILERS),ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045822,2014-10-28,"£6,250.00",SMW ARCHITECTS LTD,ARCHITECTS  FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045826,2014-10-28,"£8,240.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045827,2014-10-28,"£138,262.20",RIVERSIDE TRUCK RENTAL,LONG TERM CONTRACTED EXTERNAL HIRE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,ph100586,2014-10-28,"£7,822.00",TOBACCO FREE FUTURES CIC,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,q1002879,2014-10-28,"£5,595.00",BINDMONT PRINT SERVICES LTD,ELECTION MATERIALS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,s1017572,2014-10-28,"£27,529.00",PENNINE CARE NHS,RENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1045853,2014-10-29,"£26,585.00",GROUNDWORK OLDHAM AND ROCHDALE,MINOR BUILDING WORKS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045854,2014-10-29,"£16,607.00",OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,MINOR BUILDING WORKS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045857,2014-10-30,"£25,000.00",BLUE ORCHID MANAGEMENT CONSULTANTS LTD,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045861,2014-10-30,"£7,900.00",S T HEATINGS SERVICES LTD,BOILER REPLACEMENTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045862,2014-10-30,"£40,705.67",ROCHDALE & DIST CITIZENS ADVICE BUREAU,ADVICE/SUPPORT,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045865,2014-10-30,"£5,800.00",ASC RENEWABLES LTD,PURCHASE OF PLANT AND MACHINERY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045866,2014-10-30,"£14,000.00",ASC RENEWABLES LTD,EXPENSES - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045868,2014-10-30,"£136,258.06",CANAL & RIVER TRUST,ROCHDALE CANAL MAINTENANCE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045876,2014-10-30,"£7,980.00",F S MOULT & SON,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,ph100588,2014-10-30,"£6,040.00",ICE LIMITED,PH BUSINESS CASES,PUBLIC HEALTH
Rochdale Borough Council,d1045890,2014-10-31,"£7,116.52",PARKWOOD LEISURE,MISC CHARGES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045897,2014-10-31,"£6,975.00",D AND M DEMOLITION AND RECYCLING LTD,REMOVAL/STRIP OUT COSTS,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045898,2014-10-31,"£6,880.00",MACE LIMITED,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,x1009893,2014-10-31,"£9,900.00",CORAM,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1045907,2014-11-03,"£20,314.50",PER FIT WINDOWS LTD,TRANSACTIONS-EXPENDITURE,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045917,2014-11-03,"£7,000.00",LAND USE CONSULTANTS LTD,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045918,2014-11-03,"£5,000.00",HEPWORTH ACOUSTICS LTD,CONSULTANT FEES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015011,2014-11-03,"£10,658.00",BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1003783,2014-11-03,"£9,750.00",OVERDRIVE  INC,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,f1003784,2014-11-03,"£9,750.00",OVERDRIVE  INC,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002913,2014-11-03,"£15,390.00",ROCHDALE TOWN CENTRE MANAGEMENT CO,EVENTS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045942,2014-11-04,"£10,000.00",ENVIRONMENTAL EVALUATION,HEALTH AUTHORITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1015017,2014-11-04,"£10,686.32",PENNINE CARE NHS,CONSULTANT FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1015029,2014-11-04,"£145,665.63",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100594,2014-11-04,"£147,000.00",LINK4LIFE (CHARITY),LINK 4 LIFE CONTRACT,PUBLIC HEALTH
