"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2014-10-16","19431","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2014-12-18","121352","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2014-12-18","121352","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2014-12-18","121352","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","DISPOSAL OF FIXED ASSET - ASSET NBV","CUSTOMERS & CORPORATE SERVICES","2014-12-18","157560","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2014-12-18","25836","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2015-01-20","82710.3","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2015-01-20","121352","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2015-01-20","12917.8","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2015-02-25","91697.9","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2015-02-25","121352","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
"AGILISYS LIMITED","AGILISYS CONTRACT","CUSTOMERS & CORPORATE SERVICES","2015-03-04","121352","72222100 72222200 |72000000 |72261000 |72000000 |72000000 |48000000 |79410000 79414000 79415000 79416000 79417000 79418000 79419000 |72000000 |79411000 79413000 |66170000 72000000 73220000 |79418000 66171000 79221000 79412000 73220000 79411100 66170000 79411000 72221000 72224000 79414000 79400000 98200000 79410000 "
