"supplier_name","account_name","service","order_date","total_value","cpv_codes"
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2018-02-21","100000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","CONTRACTED SERVICES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-06","17239.3","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","120000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","122500","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","127500","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","132500","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","137500","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","142500","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","147500","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
"ROCHDALE BOROUGHWIDE HOUSING","GRANTS TO OTHER BODIES","NEIGHBOURHOODS AND ENVIRONMENT","2018-03-14","150000","79210000 |79510000 |45111214 45111220 45111240 45111250 90733500 |39141000 39141400 |03410000 03419000 03419100 03419200 44100000 |03121000 77300000 |34134200 "
